gene	SAMc9d0803f12be	SAMc71f356dbe76	SAMb2e11259e44c	SAM8d7cea623505	SAMd30abf51924c	SAM7bb6e94fa61a	SAMad8ab08e1b2d	SAM4b3d1442623a	SAMaf725d33fd8a	SAMfd7470f0e757	SAMcb49891be09d	SAMcb6e9a9347d7	SAM4d6e21b01f11	SAM7f411afa0444	SAM7bbd1c9e7cf5	SAM29dddba289b1	SAMf50a57e114bb	SAM593d2a81386c	SAM2f090346203e	SAMa4ff71243c63	SAM86842293df3c	SAM51095a172c7c	SAM16df40838728	SAMced9d1c3c6db	SAM0f9cac4ca7a0	SAMbf7a57e35e47	SAM8a898681aa32	SAM3eec77543e9d	SAMaacb2dd9840b	SAM17a1263100b6	SAMfdfdd7190d63	SAM15ce02e8ab79	SAMf81411b24c22	SAM4e43e38ea9b0	SAMcdbc51c11066	SAM059abec239b1	SAMc2c0e09da88f	SAM3fe14d768066	SAM35136b37f02f	SAMf94fdfa55ca3	SAMf5578387519b	SAM34a27e3f7310	SAM29d442dc78d2	SAMd5728a47e5dc	SAM18b596fef19d	SAM8abd31d8b661	SAMb02d3c5d4f49	SAM5301279755ba	SAM0241656aa6b0	SAM8d53870d1879	SAM8dfb36c6a824	SAM6543c825c83e	SAM52404b431d5a	SAM996f8f74a83c	SAM9045feef18c8	SAM603033af67d7	SAM4e39f3801532	SAM689efe104e02	SAM31cac6912e3c	SAMe9b4c23c94d7	SAMa95eb0a1ddeb	SAMe77ee732eeee	SAMe9cfbb8d2b7d	SAM69fc87e7458a	SAM3fdbd02541d6	SAM1288ab6c6879	SAM7f4a75910d74	SAMc68636fb6502	SAMf60620b9dc33	SAMd8fb85f0fd6d	SAM587dfd651b1f	SAMcbb1ffdc577c	SAM80416eea9834	SAM3ebc6155d707	SAM03c076511f1a	SAM4e16a33c39e8	SAMb1e6069558cd	SAM550f5b52990c	SAM9c3335269349	SAM1db67552b17b	SAM46dd9d62241f	SAM2e666ce5dec0	SAM64825605743b	SAMac17e84e3752	SAM5044c27e67c2	SAM1fb6f209c10b	SAM8e802ecef7cc	SAM0af9bfb5a20a	SAM6b5765ddbee3	SAMe0dd7723824f	SAM5fb9f516a544	SAM824be46437dd	SAM569b5ca16c89	SAM3545870d6689	SAM1eaee5f544bb	SAMa7e4e6fa60a3	SAM5baed957399c	SAMe81ec140193b	SAMddee81ec8d7c	SAM2beb6f9f3307	SAM1c2d72630a45	SAM7be187d31c1d	SAM39a921d5c245	SAMcacf503a244e	SAM9243c5ebf367	SAM79275d41e8f4	SAM685ec20da451	SAM51c0a65d2f44	SAM47c8c8464e19	SAM41b18b0972c6	SAMbe45fc72778d	SAM8bcefb4c6174	SAM87f112b7285e	SAM2b1948c25f96	SAMf3de36cdba08	SAMcf4b48208732	SAM9ac5622acdf2	SAM06e3233ae94d	SAM2bc9e72333fd	SAMf5e3b2c79005	SAMea758dd09795	SAM44a28fb0b217	SAM412782626057	SAMca5e88d06142	SAM194adbffb279	SAMa181a7680519	SAMafa982ee3c0c	SAMd96618275daf	SAM33ea8425dbb0	SAM8f09f8a5f946	SAM26c3adf4fdf4	SAMa80fcc2a452a	SAMe4d97ab28310	SAM376050fbc644	SAMc87f163afe60	SAMf3d0eed9b2c2	SAM7b16cf4a3193	SAM7e76efdbace7	SAMd5f7763066b3	SAM51b36c4a92ad	SAMbc89234bd787	SAM4aee1b3eca17	SAMf2129f8925fb	SAMa009477da3b8	SAMb30b31f819df	SAM84d34a2c9ead	SAMac5d7aed8f23	SAM74cee90f1ddf	SAM822945dec6a6	SAMf6cbfd6f55f3	SAM9452b6dcd916	SAMed5e636916f8	SAM98beb6debaa3	SAMb25c4403d396	SAM7784e97fad89	SAM5beb8d8c2216	SAM8d181445de93	SAMd95e9108bcfc	SAM4f7a1bf3a98b	SAMebd5a78e94ad	SAM00c84e944073	SAM5866b88c9192	SAMae96b96f6e23	SAM760a679ebd44	SAM3e7f4a82d625	SAMaf222729c8e9	SAM7845bcaa8c0b	SAM93aafaa5be2f	SAMa0c8bbf8b749	SAMb758c81ab2d6	SAMa96895e58043	SAM66b1df4b39c1	SAM1de5ed746a87	SAM810f3e1f7599	SAMf25af27c0376	SAMd70ce50efde9	SAM7e40ae6236da	SAM7fe3f01e4b5e	SAM07cdac36f73d	SAM573900f18c4d	SAM189fc63f560d	SAM553259e42cb2	SAM7c6a075391e1	SAM0011a04dd0ef	SAMe0f11d4d2d15	SAMff40e7f30048	SAM5cae20644ffd	SAM4888298d18b6	SAMe275a622c22c	SAMe425978a2e4d	SAM1715a784b228	SAM6aa01b776e02	SAMe16802415019	SAMeaeebabb98a7	SAM904a155f2f49	SAM18d13ef5f0b2	SAM4a3195654c79	SAM620216d4b8d2	SAM3174259189d5	SAM6b2649b89498	SAM9bd42433cf9f	SAM962bab704aa9	SAM57ceb527d348	SAM28fb1b98f554	SAM30aa07b0e6bc	SAM56897d83a22b	SAMf3d45f55672b	SAMe7f059251414	SAMb7c75a6ebca1	SAM2a8632c5ede4	SAM0dc993732a18	SAM86f01b8682dd	SAM2cc0fe4690c0	SAM1c606a593dac	SAM8979f9f2462a	SAMe48e91983132	SAMcff37639eff6	SAMc6e22b526d12	SAM7c3df5638952	SAM4538cf036d4e	SAM8df8ec84e1e2	SAMe31e323de3f9	SAM478ce6494f30	SAM11b8c6d25646	SAMd027cf5353dc	SAM28b83d252b94	SAMbb67de387c28	SAMf5f891ba17f0	SAM383d3e3e6478	SAM18c076c8cc44	SAM4bcba493fe2e	SAM58dd8e455a50	SAM99c1be00cdbb	SAM957b01a073b7	SAM271ae9c9a478	SAM30b37352734d	SAMa9ba5a78bf41	SAMcfd59ef32816	SAM4bb31c300cc2	SAM9baf5c8e058b	SAM81a6afa9ae6f	SAM07653ec609da	SAM3e4c313ffe5b	SAMcbb0960dd5c2	SAM8ca3646ec8b8	SAM2e19aad0e9c5	SAM715ed59b05c7	SAMfd063258ed87	SAM51699c10e342	SAM38cc9ff77180	SAM1dc479d93adf	SAM4142052149d8	SAMff43d8c2c4a9	SAM7cfa5876e820	SAM2d9b66bc81bd	SAM7abd935be8b8	SAM36f2221b855e	SAM9dff829cf0d7	SAMa16386e36023	SAM7433b9789294	SAM7d77bd27f4f6	SAMae0f528b3b38	SAMcafe31723900	SAM89316187f7d2	SAM1d5c6601cfbd	SAM9cc53113a966	SAMa94d78997136	SAMc8876df3fe4c	SAM58412da45bef	SAMa70870c8ca5c	SAM51bbfd2f67e7	SAMac0d6b198df9	SAM23cfb934e691	SAM89427a2df1b5	SAM4e3b20c51b22	SAMad8c816bfe1b	SAM6fec5909562a	SAMc19f32b27ead	SAM246e2b1e2dbd	SAM99536f07036e	SAM59e7194681c8	SAMb1c214d99419	SAM7250cafc462d	SAM77297829b9b0	SAM73436b9397fd	SAMfacfa649428e	SAMf297cf07b7a5	SAMa1c4b9944998	SAM26588ab3ca30	SAM81eb0bcbd455	SAM822963af1310	SAM16f6a103f1ae	SAMa02b1e2437f8
GEN1																																																																																																																																																																																																																																																																																																					
GLI1																																																																																																																																																																																																																																																																																																					
GNA11																																																																																																																																																																																																																																																																																																					
GNA13																																																																																																																																																																																																																																																																																																					
GNAQ																																																																																																																																																																																																																																																																																																					
GNAS																																													amplification(7, exons 13 of 15)												amplification(8, exons 13 of 15)																	amplification(9, exons 13 of 15)																																																																																																																																																														amplification(8, exons 13 of 15)																																																				amplification(6, exons 13 of 15)									
GPR124																																																																																																																																																																																																																																																																																																					
GREM1																																																																																																																																																																																																																																																																																																					
GRIN2A																																																																																																																																																																																																																																																																																																					
GRM3																																																																																																																																																																																																																																																																																																					
GSK3B																																																																																																																																																																																																																																																																																																					
H3F3A																																																																																																																																																																																																																																																																																																					
HGF																																																																																																																																																																																																																																																																																																					
HNF1A																																																																																																																																																																																																																																																																																																					
HOXB13																																																																																																																																																																																																																																																																																																					
HRAS																																																																																																																																																																																																																																																																																																					
HSD3B1																																																																																																																																																																																																																																																																																																					
HSP90AA1																																																																																																																																																																																																																																																																																																					
IDH1																																																																																																																																																																																																																																																																																																					
IDH2																																																																																																																																																																																																																																																																																																					
IGF1									amplification(25, exons 6 of 6)																																																																																																																																																																													amplification(9, exons 6 of 6)																																																																																																															
IGF1R																																																																																																																																																																																																																																																																																																					
IGF2																																																																																																																																																																																																																																																																																																					
IGF2R																																																																																																																																																																																																																																																																																																					
IKBKE																																																																																																																																																																																																					amplification(7, exons 20 of 20)																																																																																																
IKZF1																																																																																																																																																																																																																																																																																																					
IL7R																																																																																																																																																																																																																																																																																																					
INHBA																																																																																																																																																																																																																																																																																																					
INPP4B																																																																																																																																																																																																																																																																																																					
INSR																																																																																																																																																																																																																																																																																																					
IRF2																																																																																																																																																																																																																																																																																																					
IRF4																																																																																																																																																																																																																																																																																																					
IRS2																																																																																																																																																																															amplification(51, exons 5 of 5)																																																																		amplification(15, exons 5 of 5)		amplification(6, exons 5 of 5)																			amplification(30, exons 5 of 5)											amplification(9, exons 5 of 5)																				
JAK1																																																																																																																																																																																																																																																																																																					
JAK2														amplification(16, exons 23 of 23)																																																amplification(10, exons 23 of 23)																																																																																																																											amplification(9, exons 22 of 23)																																																																																																												
JAK3																																																																																																																																																																																																																																																																																																					
JUN																																																																																																																																																																																																																																																																																																					
KDM5A																										amplification(12, exons 28 of 28)																																																																																																																																																																																																																																																																											
KDM5C																																																																																																																																																																																																																																																																																																					
KDM6A																																																																																																																																																																																																																																																																																																					
KDR	amplification(11, exons 30 of 30)																																																																																																																																																																																																																																																														amplification(7, exons 30 of 30)																																						
KEAP1																																																																																																																																																																																																																																																																																																					
KEL																																																																																																																																																																																																																																																																																																					
KIT	amplification(11, exons 21 of 21)																																																																																																																																																																																																																																																														amplification(8, exons 21 of 21)																																						
KLHL6																																																																																																																																																																																																																																																																																																					
KRAS																																																																						amplification(89, exons 5 of 5)																																																																																																																																																																																									amplification(8, exons 5 of 5)																																						
LMO1																																																																																																																																																																																																																																																																																																					
LRP1B																																																																																																																																																																																																																																																																																																					
LRP6																																																																																																																																																																																																																																																																																																					
LTK																																																																																																																																																																																																																																																																																																					
LYN																																																																																																																																																																																																																													amplification(9, exons 12 of 12)																																																																				amplification(7, exons 12 of 12)				
LZTR1																																																																																																																																																																																																																																																																																																					
MAGI2																																																																																																																																																																																																																																																																																																					
MAP2K1																																																																																																																																																																																																																																																																																																					
MAP2K2																																																																																																																																																																																																																																																																																																					
MAP2K4																																																																																																																																																																																																																																																																																																					
MAP3K1																																																																																																																																																																																																																																																																																																					
MAP3K13																																																																																																																																																																																																																																																																																																					
MCL1																																		amplification(14, exons 5 of 5)																												amplification(62, exons 5 of 5)									amplification(8, exons 5 of 5)																																																											amplification(10, exons 5 of 5)					amplification(9, exons 5 of 5)								amplification(10, exons 5 of 5)																																																																																																																					amplification(14, exons 5 of 5)													amplification(13, exons 5 of 5)																				
MDM2					amplification(15, exons 11 of 11)	amplification(55, exons 11 of 11)			amplification(9, exons 11 of 11)																												amplification(16, exons 11 of 11)																			amplification(42, exons 11 of 11)																															amplification(62, exons 11 of 11)																																			amplification(23, exons 11 of 11)												amplification(16, exons 11 of 11)									amplification(182, exons 11 of 11)				amplification(42, exons 11 of 11)					amplification(30, exons 11 of 11)																					amplification(16, exons 11 of 11)		amplification(105, exons 11 of 11)							amplification(8, exons 11 of 11)											amplification(35, exons 11 of 11)						amplification(14, exons 11 of 11)							amplification(142, exons 11 of 11)								amplification(11, exons 11 of 11)	amplification(27, exons 11 of 11)													amplification(55, exons 11 of 11)	amplification(90, exons 11 of 11)												amplification(32, exons 11 of 11)				amplification(23, exons 11 of 11)																																							amplification(21, exons 11 of 11)								amplification(16, exons 11 of 11)	
MDM4																																																																																																																																																																																																																																																																																																					
MED12																																																																																																																																																																																																																																																																																																					
MEF2B																																																																																																																																																																																																																																																																																																					
MEN1																																																																																																																																																																																																																																																																																																					
MERTK																																																																																																																																																																																																																																																																																																					
MET														amplification(64, exons 20 of 20)																																																																																																																																																																																																																																																																																							
MITF																																																																																																																																																																																																																																																																																																	amplification(8, exons 13 of 13)				
MKNK1																																																																																																																																																																																																																																																																																																					
MKNK2																																																																																																																																																																																																																																																																																																					
MLH1																																																																																																																																																																																																																																																																																																					
MLL																																																																																																																																																																																																																																																																																																					
MLL2																																																																																																																																																																																																																																																																																																					
MLL3																																																																																																																																																																																																																																																																																																					
MPL																																																																																																																																																																																																																																																																																																					
MRE11A																																																																																																																																																																																																																																																																																																					
MSH2																																																																																																																																																																																																																																																																																																					
MSH6																																																																																																																																																																																																																																																																																																					
MST1R																																																																																																																																																																																																																																																																																																					
MTOR																																																																																																																																amplification(7, exons 57 of 57)																																																																																																																																																																					
MUTYH																																																																																																																																																																																																																																																																																																					
MYC						amplification(11, exons 5 of 5)								amplification(7, exons 5 of 5)						amplification(7, exons 5 of 5)																																						amplification(36, exons 5 of 5)				amplification(7, exons 5 of 5)								amplification(7, exons 5 of 5)												amplification(7, exons 5 of 5)																																																amplification(10, exons 5 of 5)																																																	amplification(19, exons 5 of 5)																											amplification(8, exons 5 of 5)																														amplification(6, exons 5 of 5)																																																				amplification(11, exons 5 of 5)					
MYCL1																																																																														amplification(23, exons 5 of 5)										amplification(25, exons 4 of 5)											amplification(11, exons 5 of 5)			amplification(7, exons 4 of 5)																						amplification(8, exons 5 of 5)											amplification(10, exons 4 of 5)																														amplification(25, exons 5 of 5)																																										amplification(35, exons 5 of 5)														amplification(11, exons 5 of 5)																																																																								
MYCN																																																																																																		amplification(37, exons 5 of 5)			amplification(9, exons 5 of 5)			amplification(15, exons 5 of 5)																																																																																																																																																							amplification(7, exons 5 of 5)					amplification(10, exons 5 of 5)																																	
MYD88																																																																																																																																																																																																																																																																																																					
MYST3																															amplification(14, exons 16 of 16)																																																																		amplification(8, exons 16 of 16)										amplification(8, exons 16 of 16)																												amplification(7, exons 16 of 16)																																																																								amplification(10, exons 16 of 16)																																		amplification(11, exons 16 of 16)																																																				
NBN																																																																																																																																																																																																																																																																																																					
NCOR1																																																																																																																																																																																																																																																																																																					
NF1																																																																																																																																																																																																																																																																																																					
NF2																																																																																																																																																																																																																																																																																																					
NFE2L2																																																																																																																																																																																																																																																																																																					
NFKBIA																																																																																																																																																							amplification(12, exons 6 of 6)																																																																																																																																														
NKX2-1																																																																						amplification(7, exons 5 of 5)																															amplification(19, exons 5 of 5)																																														amplification(12, exons 5 of 5)				amplification(12, exons 5 of 5)																																amplification(21, exons 5 of 5)																																																																																																														
NOTCH1																																																																																																																																																																																																																																																																																																					
NOTCH2																																																																																																																																																																																																																																																																																																					
NOTCH3																																																																																																																																																																																																																																																																																																					
NOTCH4																																																																																																																																																																																																																																																																																																					
NRAS																																																																																																																																																																																																																																																																																				amplification(15, exons 5 of 5)																	
NSD1																																																																																																																																																																																																																																																																																																					
NTRK1																																																																																																																																																																																																																																																																																																					
NTRK2																																																																																																																																																																																																																																																																																																					
NTRK3																																																																																																																																																																																																																																																																																																					
NUDT1																																																																																																																																																																																																																																																																																																					
NUP93																																																																																																																																																																																																																																																																																																					
PAK3																																																																																																																																																																																																																																																																																																					
PAK7																																																																																																																																																																																																																																																																																																					
PALB2																																																																																																																																																																																																																																																																																																					
PARK2																																																																																																																																																																																																																																																																																																					
PARP1																																																																																																																																																																																																																																																																																																					
PARP2																																																																																																																																																																																																																																																																																																					
PARP3																																																																																																																																																																																																																																																																																																					
PARP4																																																																																																																																																																																																																																																																																																					
PAX5																																																																																																																																																																																																																																																																																																					
PBRM1																																																																																																																																																																																																																																																																																																					
PDCD1LG2														amplification(16, exons 6 of 6)																																																amplification(10, exons 6 of 6)																																																																																																																											amplification(9, exons 6 of 6)																																																																																																							amplification(10, exons 6 of 6)					
PDGFRA	amplification(8, exons 22 of 22)																																																																																																																																																																																																																																																														amplification(8, exons 22 of 22)																																						
PDGFRB																																																																																																																																																																																																																																																																																																					
PDK1																																																																																																																																																																																																																																																																																																					
PHLPP2																																																																																																																																																																																																																																																																																																					
PIK3C2B																																																																																																																																																																																																																																																																																																					
PIK3C2G																																																																																																																																																																																																																																																																																																					
PIK3C3																																																																																																																																																																																																																																																																																																					
PIK3CA																																																																																																																																																																																																																																																																																																					
PIK3CB																																																																																																																																																																																																																																																																																																					
PIK3CG																																																																																																																																																																																																																																																																																																					
PIK3R1																																																																																																																																																																																																																																																																																																					
PIK3R2																																																																																																																																																																																																																																																																																																					
PLCG2																																																																																																																																																																																																																																																																																																					
PMS2																																																																																																																																																																																																																																																																																																					
PNRC1																																																																																																																																																																																																																																																																																																					
POLD1																																																																																																																																																																																																																																																																																																					
POLE																																																																																																																																																																																																																																																																																																					
PPARG																																																																																																																																																																																																																																																																																																					
PPP2R1A																																																																																																																																																																																																																																																																																																					
PRDM1																																																																																																																																																																																																																																																																																																					
PREX2																																																																																																																																																																																																																																																																																																					
PRKAR1A																																																																																																																																																																																																																																																																																																					
PRKCI																																																																																																																																		amplification(10, exons 18 of 18)					amplification(8, exons 18 of 18)																																																																								amplification(7, exons 18 of 18)																																																																																						
PRKDC																																																																																																																																																																																																																																																																																																					
PRSS1																																																																																																																																																																																																																																																																																																					
PRSS8																																																																																																																																																																																																																																																															amplification(8, exons 6 of 6)																																						
PTCH1																																																																																																																																																																																																																																																																																																					
PTCH2																																																																																																																																																																																																																																																																																																					
PTEN																																																																																																																																																																																																																																																																																																					
PTPN11																																																																																																																																																																																																																																																																																																					
PTPRD																																																																																																																																																																																																																																																																																																					
QKI																																																																																																																																																																																																																																																																																																					
RAC1																																																																																																																																																																																																																																																																																																					
RAD50																																																																																																																																																																																																																																																																																																					
RAD51																																																																																																																																																																																																																																																																																																					
RAD51B																																																																																																																																																																																																																																																																																																					
RAD51C																																																																																																																																																																																																																																																																																																					
RAD51L1																																																																																																																																																																																																																																																																																																					
RAD51L3																																																																																																																																																																																																																																																																																																					
RAD52																																																																																																																																																																																																																																																																																																					
RAD54L																																																																																																																																																																																																																																																																																																					
RAF1	amplification(9, exons 16 of 16)																			amplification(9, exons 16 of 16)	amplification(12, exons 16 of 16)							amplification(31, exons 16 of 16)						amplification(21, exons 16 of 16)																			amplification(14, exons 16 of 16)																	amplification(10, exons 16 of 16)																																		amplification(7, exons 16 of 16)																																	amplification(7, exons 16 of 16)															amplification(24, exons 16 of 16)	amplification(14, exons 16 of 16)																																																																				amplification(7, exons 16 of 16)																			amplification(9, exons 16 of 16)	amplification(9, exons 16 of 16)										amplification(7, exons 16 of 16)																																										
RANBP2																																																																																																																																																																																																																																																																																																					
RARA																																																																																																																																																																																																																																																																																																					
RB1																																																																																																																																																																																																																																																																																																					
RBM10																																																																																																																																																																																																																																																																																																					
REL																																																																																																										amplification(10, exons 11 of 11)																																																																																																																																																					amplification(7, exons 9 of 11)																																						
RET																																																																																																																																																																																																																																																																																																					
RICTOR														amplification(13, exons 39 of 39)									amplification(13, exons 39 of 39)																											amplification(10, exons 39 of 39)												amplification(8, exons 39 of 39)																																											amplification(12, exons 39 of 39)		amplification(11, exons 39 of 39)																																	amplification(7, exons 39 of 39)										amplification(9, exons 39 of 39)																												amplification(15, exons 39 of 39)																		amplification(17, exons 39 of 39)											amplification(7, exons 39 of 39)																											amplification(7, exons 39 of 39)															amplification(6, exons 39 of 39)															amplification(10, exons 39 of 39)																													
RNF43																																																																																																																																																																																																																																																																																																					
ROS1																																																																																																																							amplification(10, exons 43 of 43)																																																																																																																																																																														
RPA1																																																																																																																																																																																																																																																																																																					
RPTOR																																																																																																																																																																																																																																																																																																					
RUNX1																																																																																																																																																																																																																																																																																																					
RUNX1T1																																																																																																																																																																																																																																																																																																					
SDHA																																																																																																																																																																																																																																																																																																					
SDHB																																																																																																																																																																																																																																																																																																					
SDHC																																																																																																																																																																																																																																																																																																					
SDHD																																																																																																																																																																																																																																																																																																					
SETD2																																																																																																																																																																																																																																																																																																					
SF3B1																																																																																																																																																																																																																																																																																																					
SH2B3																																																																																																																																																																																																																																																																																																					
SLIT2																																																																																																																																																																																																																																																																																																					
SMAD2																																																																																																																																																																																																																																																																																																					
SMAD3																																																																																																																																																																																																																																																																																																					
SMAD4																																																																																																																																																																																																																																																																																																					
SMARCA4																																																																																																																																																																																																																																																																																																					
SMARCB1																																																																																																																																																																																																																																																																																																					
SMARCD1																																																																																																																																																																																																																																																																																																					
SMO																																																																																																																																																																																																																																																																																																					
SNCAIP																																																																																																																																																																																																																																																																																																					
SOCS1																																																																																																																																																																																																																																																																																																					
SOX10																																																																																																																																																																																																																																																																																																					
SOX2																																																																																																																																							amplification(14, exons 5 of 5)																																																																																																																																																														
SOX9																																																																																																																																																																																																																																																																																																					
SPEN																																																																																																																																																																																																																																																																																																					
SPOP																																																																																																																																																																																																																																																																																																					
SPTA1																																																																																																																																																																																																																																																																																																					
SRC																																																																																																																																																																																																																																																																																																					
STAG2																																																																																																																																																																																																																																																																																																					
STAT3																																																																																																																																																																																																																																																																																																					
STAT4																																																																																																																																																																																																																																																																																																					
STK11																																																																																																																																																																																																																																																																																																					
SYK																																																																																																																																																																																																																																																																																																					
TAF1																																																																																																																																																																																																																																																																																																					
TBX3																																																																																																																																																																																																																																																																																																					
TEK																																																																																																																																																																																																																																																																																																					
TERT																																																																																																																																																																																																																																																																																																					
TET2																																																																																																																																																																																																																																																																																																					
TGFBR2																																																																																																																																																																																																																																																																																																					
TIPARP																																																																																																																																																																																																																																																																																																					
TMPRSS2																																																																																																																																																																																																																																																																																																					
TNF																																																																																																																																																																																																																																																																																																					
TNFAIP3																																																																																																																																																																																																																																																																																																					
TNFRSF14																																																																																																																																																																																																																																																																																																					
TNKS																																																																																																																																																																																																																																																																																																					
TNKS2																																																																																																																																																																																																																																																																																																					
TOP1																																																																																																																																																																																																																																																																																																					
TOP2A																																																																																																																																																																																																																		amplification(9, exons 36 of 36)																																								amplification(7, exons 36 of 36)																																											
TP53																																																																																																																																																																																																																																																																																																					
TP53BP1																																																																																																																																																																																																																																																																																																					
TRRAP																																																																																																																																																																																																																																																																																																					
TSC1																																																																																																																																																																																																																																																																																																					
TSC2																																																																																																																																																																																																																																																																																																					
TSHR																																																																																																																																																																																																																																																																																																					
TYRO3																																																																																																																																																																																																																																																																																																					
U2AF1																																																																																																																																																																																																																																																																																																					
UGT1A7																																																																																																																																																																																																																																																																																																					
VEGFA																																																																																																																																							amplification(9, exons 8 of 8)																																																																																																																																																														
VHL																																																																																																																																																																																																																																																																																																					
WISP3																																																																																																																																																																																																																																																																																																					
WT1																																																																																																																																																																																																																																																																																																					
XPO1																																																																																																																																																																																																																																																																																																					
XRCC2																																																																																																																																																																																																																																																																																																					
XRCC3																																																																																																																																																																																																																																																																																																					
ZBTB2																																																																																																																																																																																																																																																																																																					
ZNF217																																																																									amplification(19, exons 4 of 4)																																																																																																																																																																																																																												
ZNF703																																					amplification(120, exons 2 of 2)			amplification(11, exons 2 of 2)									amplification(8, exons 2 of 2)		amplification(122, exons 2 of 2)																				amplification(19, exons 2 of 2)			amplification(9, exons 2 of 2)											amplification(9, exons 2 of 2)												amplification(8, exons 2 of 2)										amplification(9, exons 2 of 2)																																																																										amplification(14, exons 2 of 2)																										amplification(50, exons 2 of 2)																																		amplification(171, exons 2 of 2)										amplification(7, exons 2 of 2)														amplification(11, exons 2 of 2)													amplification(16, exons 2 of 2)										amplification(20, exons 2 of 2)					amplification(11, exons 2 of 2)
ZNRF3																																																																																																																																																																																																																																																																																																					
